Id,Nome,Cognome,Sesso,Data_di_nascita,Nazionalità,Ruolo
xiaolaohu,Ping,Xiao-hu,M,2002-08-22,Cina,Top
Beichuan,Yang,Ling,M,2001-07-21,Cina,Jng
Gori,Kim,Tae-woo,M,2000-8-9,Corea del sud,Mid
jiang,Luo,Bai-Jiang,M,2000-10-2,Cina,Adc
Lwx,Liu,Wei-Xiang,M,1998-10-24,Cina,Adc
Hang,Fu,Ming-Hang,M,2003-02-5,Cina,Supp
Lele,Dang,Bo-Lin,M,2000-07-11,Cina,Supp 
Summit,Park,Woo-tae,M,1998-12-8,Corea del sud,Top
Blaber,Robert,Huang,M,2000-01-4,USA,Jng
Fudge,Ibrahim,Allami,M,2002-05-23,Australia,Mid
Berserker,Kim,Min-cheol,M,2003-05-25,Corea del sud,Adc
Zven,Jesper,Svenningsen,M,1997-06-24,Danimarca,Adc
Isles,Jonah,Rosario,M,2001-03-7,Australia,Supp
Broken Blade,Sergen,Celik,M,2000-01-19,Germania,Top
Targamas,Raphael,Crabbé,M,2000-06-30,Belgio,Supp
Jankos,Marcin,Jankowski,M,1995-06-23,Polonia,Jng
caPs,Rasmis,Borregaard Winther,M,1999-11-17,Danimarca,Mid
Flakked,Victor,Lirola,M,2001-04-25,Spagna,Adc
Mikyx,Mihael,Mehle,M,1998-11-2,Slovenia,Supp
Wunder,Martin,Nordah Hansen,M,1998-11-9,Danimarca,Top
Razork,Ivan,Martìn Dìaz,M,2000-10-7,Spagna,Jng
Upset,Elias,Lipp,M,1999-12-16,Germania,Adc
Hylissang,Zdravets,Illiev Galabov,M,1995-04-30,Bulgaria,Supp
Nisqy,Yasin,Dincer,M,1998-07-28,Belgio,Mid
Zeus,Choi,Woo-je,M,2004-01-31,Corea del sud,Top
Oner,Moon,Hyeon-joon,M,2002-12-24,Corea del sud,Jng
Faker,Lee,Sang-hyeok,M,1996-05-7,Corea del sud,Mid
Gumayusi, Lee,Min-hyeong,M,2002-02-6,Corea del sud,Adc
Keria,Ryu,Min-seok,M,2002-02-14,Corea del sud,Supp
Burdol,Noh,Tae-yoon,M,2003-12-25,Corea del sud,Top
Hoya,Yoon,Yong-ho,M,2000-08-25,Corea del sud,Top
Canyon,Kim,Geon-bu,M,2001-06-18,Corea del sud,Jng
ShowMaker,Heo,Su,M,2000-07-22,Corea del sud,Mid
deokdam,Seo,Dae-gil,M,2000-02-25,Corea del sud,Adc
Kellin,Kim,Hyeong-gyu,M,2001-02-1,Corea del sud,Supp
Flandre,Li,Xuan-Jun,M,1998-08-28,Cina,Top
Xiaoxiang,Huang,Xiang,M,2002-03-18,Cina,Top
Jiejie,Zhao,Li-jie,M,2001-10-27,Cina,Jng
Scout,Lee,Ya-chan,M,1998-03-14,Corea del sud,Mid
Viper,Park,Do-hyeon,M,2000-10-19,Corea del sud,Adc
Meiko,Tian,Ye,M,1998-06-6,Cina,Supp
Clearlove,Ming,Kai,M,1993-07-25,Cina,Jng
Hope,Wang,Jie,M,2000-09-29,Cina,Adc